Temp,h,U,deltaU,Cv,deltaCv,Mag,deltaMag
1.1,0,-1216.13,0.0644826,384.601,-26.6358,0.849608,-0.000141125
1.2,0,-1168.4,0.101702,1453.62,-105.134,0.800646,9.39719e-05
1.3,0,-1095.3,0.193174,6345.59,-6.14279,0.702281,-0.000239123
1.4,0,-1104.49,0.0561732,418.815,-5.08746,0.726908,4.77753e-05
1.5,0,-1041.89,0.0941456,705.703,-9.5347,0.754898,-0.000276382
1.6,0,-992.911,0.0965136,1038.27,-2.22361,0.709914,0.000323684
1.7,0,-936.724,0.120307,852.344,-8.21732,0.702095,0.000121806
1.8,0,-873.983,0.0594369,991.54,15.0647,0.647922,-5.57092e-06
1.9,0,-816.905,0.136532,710.289,-7.737,0.61244,0.000268062
2,0,-719.786,0.172933,1865.85,-1.14895,0.540907,0.000287774
2.1,0,-645.656,0.155217,1365.1,-1.68634,0.406085,-0.00056784
2.2,0,-574.123,0.100926,808.124,1.58855,0.36192,-0.000461001
2.3,0,-468.069,0.0961037,437.845,-0.969009,0.253997,-0.000290775
2.4,0,-421.757,0.0549218,324.974,1.92912,0.125228,-0.000375184
2.5,0,-375.617,0.0223461,251.517,2.4229,0.0509374,-0.000120323
2.6,0,-350.949,0.0448757,192.887,0.621693,0.0285668,-0.000218041
2.7,0,-335.896,0.0929444,156.077,-1.29333,0.0490246,-4.25203e-05
2.8,0,-313.655,0.0672907,165.781,-0.0338844,0.0269746,-0.000220872
2.9,0,-305.479,0.00673912,153.26,2.20211,0.0327489,2.45804e-05
3,0,-290.006,0.0400125,140.825,0.0350144,0.0062778,-0.000145482
3.1,0,-279.705,0.0716925,106.221,-0.796021,0.0151656,-0.000107982
3.2,0,-269.448,0.0269101,109.453,0.094265,0.0130963,0.000136881
3.3,0,-260.211,0.0785627,102.354,-0.809768,0.0168816,-9.01219e-05
3.4,0,-249.672,0.0562032,84.1884,-0.431069,0.00369409,2.88223e-06
3.5,0,-241.387,0.0257337,78.8249,0.270333,0.0112936,0.000143693
3.6,0,-232.767,0.0273747,79.0272,-0.0046794,0.0151941,2.37627e-06
3.7,0,-226.997,0.0229796,63.3215,0.219652,0.0129317,-5.96331e-05
3.8,0,-218.772,0.052917,74.9752,-0.52162,0.00365863,-4.90074e-05
3.9,0,-210.367,0.020733,64.2149,-0.268318,0.00833444,-7.06517e-05
4,0,-204.814,0.0241185,54.1755,-0.434968,0.00708802,4.62509e-05
4.1,0,-196.439,0.0600114,58.6578,-0.456095,0.00346133,-3.3378e-05
4.2,0,-192.143,0.0510972,54.4087,-0.302904,0.00341993,4.60211e-05
4.3,0,-188.331,0.0599042,50.0468,-0.211463,0.0144155,5.33145e-05
4.4,0,-182.941,0.0186021,46.7821,0.0727564,0.00499848,-4.98835e-06
4.5,0,-177.927,0.0217389,45.1497,-0.273711,0.00308655,-7.46498e-05
4.6,0,-174.359,0.0426338,43.3883,-0.0715806,0.00109168,-7.60962e-05
4.7,0,-172.259,0.0460703,39.3303,-0.235193,0.00580382,5.8919e-06
4.8,0,-166.741,0.0478812,37.8119,-0.169654,0.00203357,7.02578e-05
4.9,0,-162.458,0.0368386,37.3636,-0.105169,0.00364109,3.87024e-05
5,0,-159.101,0.0269733,34.1167,-0.117934,0.00259319,3.97489e-05
1.1,1,-1741.21,0.0806646,272.74,-57.6378,0.896241,4.34666e-05
1.2,1,-1704.94,0.0844476,316.217,-47.7405,0.882649,3.98296e-05
1.3,1,-1675.19,0.0830458,313.884,-38.1436,0.871963,2.29258e-05
1.4,1,-1640.62,0.0863642,332.281,-34.1782,0.859914,4.22492e-05
1.5,1,-1601.35,0.0875105,423.514,-21.7175,0.845556,4.5844e-05
1.6,1,-1567.01,0.0772403,421.96,-10.789,0.833547,1.73266e-05
1.7,1,-1521.7,0.0737519,411.924,-9.13491,0.814614,2.43336e-05
1.8,1,-1480.99,0.0898141,430.321,-9.76138,0.802456,3.35525e-05
1.9,1,-1435.92,0.0406503,573.095,7.97546,0.784925,3.53526e-05
2,1,-1394.34,0.0806269,522.904,1.65169,0.767903,9.52605e-06
2.1,1,-1340.6,0.112635,511.58,-8.11341,0.746276,5.85565e-05
2.2,1,-1294.82,0.0275371,506.888,19.98,0.728,5.40946e-05
2.3,1,-1261.42,0.0942706,485.378,-30.6614,0.715906,4.62165e-05
2.4,1,-1179.98,0.119713,654.441,-2.8304,0.679589,5.70218e-05
2.5,1,-1135.56,0.134072,520.667,-6.16202,0.660676,5.65115e-05
2.6,1,-1085.23,0.105087,518.018,-0.0652386,0.640115,7.56119e-05
2.7,1,-1038.57,0.118676,471.716,-2.33536,0.618821,4.55678e-05
2.8,1,-963.091,0.0662796,626.785,8.62792,0.582112,4.10512e-05
2.9,1,-932.172,0.0829071,475.683,3.62189,0.568909,5.51234e-06
3,1,-869.942,0.112267,426.693,-0.314222,0.539552,4.13471e-05
3.1,1,-824.638,0.0816398,404.393,2.26542,0.512244,1.2434e-05
3.2,1,-776.333,0.142377,454.655,-1.16746,0.490138,6.45532e-05
3.3,1,-713.145,0.123035,385.327,-0.487502,0.455768,9.67771e-05
3.4,1,-691.51,0.095176,363.573,0.996183,0.443002,7.8084e-05
3.5,1,-634.025,0.0988739,457.173,2.17707,0.407612,8.71363e-05
3.6,1,-601.542,0.134462,324.142,-0.96362,0.390758,9.09407e-05
3.7,1,-561.332,0.106925,318.645,-0.176912,0.366254,6.15414e-05
3.8,1,-551.713,0.165613,376.355,-1.00262,0.362782,0.000107746
3.9,1,-518.255,0.0882618,327.534,1.19406,0.340225,5.83525e-05
4,1,-481.978,0.158025,266.321,-1.44172,0.315991,9.54372e-05
4.1,1,-468.426,0.0862547,214.618,0.410783,0.307628,3.22205e-05
4.2,1,-446.332,0.118305,186.116,-0.53954,0.293786,6.0297e-05
4.3,1,-422.259,0.0607016,151.82,0.0192473,0.279932,5.99427e-05
4.4,1,-406.66,0.0645346,207.018,1.20574,0.269694,4.21266e-05
4.5,1,-383.073,0.0321389,147.254,0.206615,0.250269,3.87168e-05
4.6,1,-373.909,0.0434835,148.302,0.261484,0.241126,5.79852e-05
4.7,1,-359.799,0.0659335,134.044,0.113741,0.237016,6.08523e-05
4.8,1,-346.378,0.0649132,150.589,0.121314,0.22916,5.57962e-05
4.9,1,-334.663,0.0943395,107.63,-0.204476,0.218771,8.52855e-05
5,1,-316.295,0.00166541,114.522,1.07461,0.204086,6.00618e-05
1.1,2,-2254.48,0.057568,322.617,-88.315,0.914065,2.7913e-05
