E,res
-0.964765,-3.75187e-11
-0.896672,-1.18749e-12
-0.831705,-4.80185e-11
-0.769803,-8.56684e-11
-0.710908,1.24619e-10
-0.65496,1.29308e-10
-0.601898,5.22885e-10
-0.551659,-3.42624e-11
-0.504182,3.13705e-11
-0.4594,-1.34001e-10
-0.41725,-1.912e-10
-0.377665,-2.34145e-10
-0.340576,-3.44613e-12
-0.305916,5.48319e-10
-0.273614,9.3555e-10
-0.243599,1.10128e-09
-0.215798,8.20989e-10
-0.190138,5.2033e-10
-0.166543,-2.49557e-10
-0.144937,9.90283e-11
-0.125242,1.37348e-10
-0.107379,6.25249e-10
-0.0912655,-4.01101e-10
-0.0768208,8.04008e-10
-0.063961,1.32459e-10
-0.0526007,-1.0925e-09
-0.0426534,2.31869e-09
-0.0340311,1.68598e-10
-0.0266442,3.99467e-10
-0.0204018,7.79821e-10
-0.0152117,-5.22647e-10
-0.0109801,3.22096e-09
-0.00761211,-3.07217e-09
-0.00501152,-3.37054e-09
-0.00308099,-7.064e-09
-0.00172213,-8.15223e-08
-0.000835576,7.22919e-09
-0.000321157,-3.1054e-07
nan,nan
