massa,raggio
2.9835e+30,33048.9
2.9838e+30,33047.8
2.9841e+30,33046.7
2.9844e+30,33045.6
2.98469e+30,33044.5
2.98499e+30,33043.4
2.98529e+30,33042.3
2.98559e+30,33041.2
2.98589e+30,33040.1
2.98619e+30,33039
2.98648e+30,33037.9
2.98678e+30,33036.8
2.98708e+30,33035.7
2.98738e+30,33034.6
2.98768e+30,33033.5
2.98798e+30,33032.4
2.98827e+30,33031.3
2.98857e+30,33030.2
2.98887e+30,33029.1
2.98917e+30,33028
2.98947e+30,33026.9
2.98977e+30,33025.8
2.99006e+30,33024.7
2.99036e+30,33023.6
2.99066e+30,33022.5
2.99096e+30,33021.4
2.99126e+30,33020.3
2.99156e+30,33019.2
2.99185e+30,33018.1
2.99215e+30,33017
2.99245e+30,33015.9
2.99275e+30,33014.8
2.99305e+30,33013.7
2.99335e+30,33012.6
2.99364e+30,33011.5
2.99394e+30,33010.4
2.99424e+30,33009.3
2.99454e+30,33008.2
2.99484e+30,33007.1
2.99514e+30,33006
2.99543e+30,33004.9
2.99573e+30,33003.9
2.99603e+30,33002.8
2.99633e+30,33001.7
2.99663e+30,33000.6
2.99693e+30,32999.5
2.99722e+30,32998.4
2.99752e+30,32997.3
2.99782e+30,32996.2
2.99812e+30,32995.1
2.99842e+30,32994
2.99872e+30,32992.9
2.99901e+30,32991.8
2.99931e+30,32990.7
2.99961e+30,32989.6
2.99991e+30,32988.5
3.00021e+30,32987.4
3.00051e+30,32986.3
3.0008e+30,32985.2
3.0011e+30,32984.2
3.0014e+30,32983.1
3.0017e+30,32982
3.002e+30,32980.9
3.0023e+30,32979.8
3.00259e+30,32978.7
3.00289e+30,32977.6
3.00319e+30,32976.5
3.00349e+30,32975.4
3.00379e+30,32974.3
3.00409e+30,32973.2
3.00438e+30,32972.1
3.00468e+30,32971
3.00498e+30,32970
3.00528e+30,32968.9
3.00558e+30,32967.8
3.00588e+30,32966.7
3.00617e+30,32965.6
3.00647e+30,32964.5
3.00677e+30,32963.4
3.00707e+30,32962.3
3.00737e+30,32961.2
3.00767e+30,32960.1
3.00796e+30,32959.1
3.00826e+30,32958
3.00856e+30,32956.9
3.00886e+30,32955.8
3.00916e+30,32954.7
3.00946e+30,32953.6
3.00975e+30,32952.5
3.01005e+30,32951.4
3.01035e+30,32950.3
3.01065e+30,32949.3
3.01095e+30,32948.2
3.01125e+30,32947.1
3.01154e+30,32946
3.01184e+30,32944.9
3.01214e+30,32943.8
3.01244e+30,32942.7
3.01274e+30,32941.6
3.01304e+30,32940.5
3.01333e+30,32939.5
3.01363e+30,32938.4
3.01393e+30,32937.3
3.01423e+30,32936.2
3.01453e+30,32935.1
3.01483e+30,32934
3.01513e+30,32932.9
3.01542e+30,32931.9
3.01572e+30,32930.8
3.01602e+30,32929.7
3.01632e+30,32928.6
3.01662e+30,32927.5
3.01692e+30,32926.4
3.01721e+30,32925.3
3.01751e+30,32924.3
3.01781e+30,32923.2
3.01811e+30,32922.1
3.01841e+30,32921
3.01871e+30,32919.9
3.019e+30,32918.8
3.0193e+30,32917.7
3.0196e+30,32916.7
3.0199e+30,32915.6
3.0202e+30,32914.5
3.0205e+30,32913.4
3.02079e+30,32912.3
3.02109e+30,32911.2
3.02139e+30,32910.2
3.02169e+30,32909.1
3.02199e+30,32908
3.02229e+30,32906.9
3.02258e+30,32905.8
3.02288e+30,32904.7
