xi,theta,phi
0,1,0
0.000100,1.000000,-0.000175
0.001100,0.999999,-0.000644
0.002100,0.999998,-0.001007
0.003100,0.999997,-0.001352
0.004100,0.999996,-0.001690
0.005100,0.999994,-0.002027
0.006100,0.999992,-0.002362
0.007100,0.999989,-0.002696
0.008100,0.999986,-0.003030
0.009100,0.999983,-0.003364
0.010100,0.999979,-0.003698
0.011100,0.999976,-0.004032
0.012100,0.999971,-0.004365
0.013100,0.999967,-0.004699
0.014100,0.999962,-0.005032
0.015100,0.999957,-0.005366
0.016100,0.999951,-0.005699
0.017100,0.999945,-0.006032
0.018100,0.999939,-0.006366
0.019100,0.999933,-0.006699
0.020100,0.999926,-0.007032
0.021100,0.999919,-0.007366
0.022100,0.999911,-0.007699
0.023100,0.999903,-0.008032
0.024100,0.999895,-0.008366
0.025100,0.999886,-0.008699
0.026100,0.999878,-0.009032
0.027100,0.999868,-0.009366
0.028100,0.999859,-0.009699
0.029100,0.999849,-0.010032
0.030100,0.999839,-0.010365
0.031100,0.999828,-0.010699
0.032100,0.999817,-0.011032
0.033100,0.999806,-0.011365
0.034100,0.999795,-0.011698
0.035100,0.999783,-0.012032
0.036100,0.999771,-0.012365
0.037100,0.999758,-0.012698
0.038100,0.999745,-0.013031
0.039100,0.999732,-0.013364
0.040100,0.999718,-0.013698
0.041100,0.999705,-0.014031
0.042100,0.999690,-0.014364
0.043100,0.999676,-0.014697
0.044100,0.999661,-0.015030
0.045100,0.999646,-0.015363
0.046100,0.999630,-0.015696
0.047100,0.999614,-0.016030
0.048100,0.999598,-0.016363
0.049100,0.999582,-0.016696
0.050100,0.999565,-0.017029
0.051100,0.999548,-0.017362
0.052100,0.999530,-0.017695
0.053100,0.999512,-0.018028
0.054100,0.999494,-0.018361
0.055100,0.999476,-0.018694
0.056100,0.999457,-0.019027
0.057100,0.999437,-0.019360
0.058100,0.999418,-0.019693
0.059100,0.999398,-0.020026
0.060100,0.999378,-0.020359
0.061100,0.999357,-0.020692
0.062100,0.999337,-0.021025
0.063100,0.999315,-0.021358
0.064100,0.999294,-0.021691
0.065100,0.999272,-0.022024
0.066100,0.999250,-0.022357
0.067100,0.999227,-0.022689
0.068100,0.999204,-0.023022
0.069100,0.999181,-0.023355
0.070100,0.999158,-0.023688
0.071100,0.999134,-0.024021
0.072100,0.999110,-0.024354
0.073100,0.999085,-0.024686
0.074100,0.999060,-0.025019
0.075100,0.999035,-0.025352
0.076100,0.999010,-0.025685
0.077100,0.998984,-0.026017
0.078100,0.998958,-0.026350
0.079100,0.998931,-0.026683
0.080100,0.998904,-0.027016
0.081100,0.998877,-0.027348
0.082100,0.998849,-0.027681
0.083100,0.998822,-0.028013
0.084100,0.998793,-0.028346
0.085100,0.998765,-0.028679
0.086100,0.998736,-0.029011
0.087100,0.998707,-0.029344
0.088100,0.998677,-0.029676
0.089100,0.998648,-0.030009
0.090100,0.998617,-0.030341
0.091100,0.998587,-0.030674
0.092100,0.998556,-0.031006
0.093100,0.998525,-0.031339
0.094100,0.998493,-0.031671
0.095100,0.998462,-0.032004
0.096100,0.998429,-0.032336
0.097100,0.998397,-0.032669
0.098100,0.998364,-0.033001
0.099100,0.998331,-0.033333
0.100100,0.998297,-0.033666
0.101100,0.998264,-0.033998
0.102100,0.998229,-0.034330
0.103100,0.998195,-0.034662
0.104100,0.998160,-0.034995
0.105100,0.998125,-0.035327
0.106100,0.998089,-0.035659
0.107100,0.998054,-0.035991
0.108100,0.998017,-0.036323
0.109100,0.997981,-0.036656
0.110100,0.997944,-0.036988
0.111100,0.997907,-0.037320
0.112100,0.997869,-0.037652
0.113100,0.997832,-0.037984
0.114100,0.997793,-0.038316
0.115100,0.997755,-0.038648
0.116100,0.997716,-0.038980
0.117100,0.997677,-0.039312
0.118100,0.997638,-0.039644
0.119100,0.997598,-0.039976
0.120100,0.997558,-0.040307
0.121100,0.997517,-0.040639
0.122100,0.997476,-0.040971
0.123100,0.997435,-0.041303
0.124100,0.997394,-0.041635
0.125100,0.997352,-0.041967
0.126100,0.997310,-0.042298
0.127100,0.997267,-0.042630
0.128100,0.997225,-0.042962
0.129100,0.997181,-0.043293
0.130100,0.997138,-0.043625
0.131100,0.997094,-0.043957
0.132100,0.997050,-0.044288
0.133100,0.997006,-0.044620
0.134100,0.996961,-0.044951
0.135100,0.996916,-0.045283
0.136100,0.996870,-0.045614
0.137100,0.996824,-0.045946
0.138100,0.996778,-0.046277
0.139100,0.996732,-0.046608
0.140100,0.996685,-0.046940
0.141100,0.996638,-0.047271
0.142100,0.996591,-0.047602
0.143100,0.996543,-0.047934
0.144100,0.996495,-0.048265
0.145100,0.996446,-0.048596
0.146100,0.996398,-0.048927
0.147100,0.996348,-0.049258
0.148100,0.996299,-0.049590
0.149100,0.996249,-0.049921
0.150100,0.996199,-0.050252
0.151100,0.996149,-0.050583
0.152100,0.996098,-0.050914
0.153100,0.996047,-0.051245
0.154100,0.995995,-0.051576
0.155100,0.995944,-0.051907
0.156100,0.995892,-0.052238
0.157100,0.995839,-0.052568
0.158100,0.995787,-0.052899
0.159100,0.995733,-0.053230
0.160100,0.995680,-0.053561
0.161100,0.995626,-0.053891
0.162100,0.995572,-0.054222
0.163100,0.995518,-0.054553
0.164100,0.995463,-0.054883
0.165100,0.995408,-0.055214
0.166100,0.995353,-0.055545
0.167100,0.995297,-0.055875
0.168100,0.995241,-0.056206
0.169100,0.995185,-0.056536
0.170100,0.995128,-0.056867
0.171100,0.995071,-0.057197
0.172100,0.995014,-0.057527
0.173100,0.994956,-0.057858
0.174100,0.994898,-0.058188
0.175100,0.994839,-0.058518
0.176100,0.994781,-0.058848
0.177100,0.994722,-0.059179
0.178100,0.994662,-0.059509
0.179100,0.994603,-0.059839
0.180100,0.994543,-0.060169
0.181100,0.994482,-0.060499
0.182100,0.994422,-0.060829
0.183100,0.994361,-0.061159
0.184100,0.994299,-0.061489
0.185100,0.994238,-0.061819
0.186100,0.994176,-0.062149
0.187100,0.994113,-0.062478
0.188100,0.994051,-0.062808
0.189100,0.993988,-0.063138
0.190100,0.993925,-0.063468
0.191100,0.993861,-0.063797
0.192100,0.993797,-0.064127
0.193100,0.993733,-0.064457
0.194100,0.993668,-0.064786
0.195100,0.993603,-0.065116
0.196100,0.993538,-0.065445
0.197100,0.993472,-0.065775
0.198100,0.993406,-0.066104
0.199100,0.993340,-0.066433
0.200100,0.993273,-0.066763
0.201100,0.993206,-0.067092
0.202100,0.993139,-0.067421
0.203100,0.993072,-0.067750
0.204100,0.993004,-0.068080
0.205100,0.992935,-0.068409
0.206100,0.992867,-0.068738
0.207100,0.992798,-0.069067
0.208100,0.992729,-0.069396
0.209100,0.992659,-0.069725
0.210100,0.992589,-0.070054
0.211100,0.992519,-0.070382
0.212100,0.992449,-0.070711
0.213100,0.992378,-0.071040
0.214100,0.992306,-0.071369
0.215100,0.992235,-0.071697
0.216100,0.992163,-0.072026
0.217100,0.992091,-0.072355
0.218100,0.992018,-0.072683
